               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088602,            0.033887,            0.025028,            0.001244,             0.15085,          0.00075811,          0.00029103,                 nan,                 nan,             0.35295,            0.070059,           0.0033268,           0.0033268
                   1,            0.075429,            0.032792,            0.022041,            0.020115,           0.0051665,            0.015396,           0.0052198,            0.057572,            0.014853,            0.017114,            0.039939,           0.0065403,           0.0065403
                   2,            0.061535,            0.036828,            0.021094,            0.007098,            0.086442,           0.0055316,           0.0017127,                 nan,                 nan,            0.019996,           0.0096988,           0.0096337,           0.0096337
                   3,            0.055188,            0.034611,            0.018169,             0.65078,             0.17968,             0.10149,            0.033825,            0.046987,            0.019359,            0.011946,             0.00946,             0.00946,             0.00946
                   4,            0.052244,            0.033454,            0.015113,             0.78248,             0.23594,             0.27165,             0.11207,            0.043065,            0.012075,           0.0077708,             0.00946,             0.00946,             0.00946
                   5,            0.050292,             0.03253,            0.013576,             0.46758,             0.27617,             0.27926,             0.11572,            0.040456,            0.012618,           0.0070084,             0.00928,             0.00928,             0.00928
                   6,            0.048453,            0.032234,            0.012815,             0.27336,             0.28259,             0.25334,             0.10024,            0.040828,            0.011706,           0.0083374,              0.0091,              0.0091,              0.0091
                   7,            0.047984,            0.031723,            0.012438,             0.34468,             0.34701,             0.30916,             0.12216,            0.039211,            0.012695,           0.0064409,             0.00892,             0.00892,             0.00892
                   8,            0.046723,            0.030972,            0.011628,              0.4046,             0.33415,             0.33108,             0.13108,            0.039264,            0.012414,            0.005607,             0.00874,             0.00874,             0.00874
                   9,            0.045571,            0.030607,            0.011169,             0.35279,             0.35784,             0.32923,             0.14269,            0.037818,            0.012083,           0.0058195,             0.00856,             0.00856,             0.00856
                  10,            0.045223,            0.030659,            0.010899,             0.55042,             0.41089,             0.41754,             0.17645,            0.037393,            0.011012,           0.0050888,             0.00838,             0.00838,             0.00838
                  11,            0.045298,             0.03084,            0.011031,             0.39204,             0.41475,             0.36572,             0.15553,            0.038701,            0.012341,            0.005473,              0.0082,              0.0082,              0.0082
                  12,            0.044447,            0.029941,             0.01039,             0.59648,              0.3949,             0.44188,             0.17231,            0.038619,            0.011683,           0.0056909,             0.00802,             0.00802,             0.00802
                  13,            0.043723,            0.029753,            0.010609,             0.52842,             0.45494,             0.46453,             0.19213,            0.036873,            0.010066,           0.0059616,             0.00784,             0.00784,             0.00784
                  14,            0.042893,            0.028973,           0.0096062,             0.53835,             0.46183,              0.4812,             0.20515,            0.035095,            0.010111,           0.0055983,             0.00766,             0.00766,             0.00766
                  15,            0.042324,            0.029464,           0.0096622,             0.56225,             0.47177,             0.50413,             0.22044,            0.035001,            0.010536,           0.0045336,             0.00748,             0.00748,             0.00748
                  16,            0.042357,            0.029158,           0.0098281,             0.48642,             0.45866,             0.44984,             0.19171,            0.035569,            0.010739,           0.0055405,              0.0073,              0.0073,              0.0073
                  17,            0.041649,            0.028844,           0.0095496,             0.63626,             0.44191,             0.50775,             0.21668,            0.035486,            0.010209,           0.0047642,             0.00712,             0.00712,             0.00712
                  18,            0.042209,            0.029152,           0.0094916,             0.57069,             0.51449,             0.51363,             0.20485,            0.035809,            0.010725,           0.0046223,             0.00694,             0.00694,             0.00694
                  19,            0.041053,            0.028938,           0.0091434,             0.55956,             0.48243,             0.50508,             0.22859,            0.033848,            0.010341,           0.0041042,             0.00676,             0.00676,             0.00676
                  20,            0.040825,            0.028606,           0.0090434,             0.54174,             0.51224,             0.51947,             0.23306,            0.033746,            0.010026,           0.0053532,             0.00658,             0.00658,             0.00658
                  21,            0.040872,            0.028664,           0.0091053,             0.55463,             0.50139,             0.51513,             0.21464,            0.034887,            0.010048,           0.0038838,              0.0064,              0.0064,              0.0064
                  22,            0.040371,            0.028743,           0.0090649,             0.58136,             0.48647,             0.51081,             0.22606,            0.034158,            0.010193,           0.0043982,             0.00622,             0.00622,             0.00622
                  23,            0.040217,            0.028063,           0.0087984,             0.54811,             0.54239,             0.49399,             0.20914,            0.034185,            0.010212,           0.0045619,             0.00604,             0.00604,             0.00604
                  24,            0.039539,             0.02838,           0.0088517,              0.6178,             0.50932,             0.53929,             0.22559,            0.035059,           0.0096447,            0.003726,             0.00586,             0.00586,             0.00586
                  25,            0.039596,            0.028001,           0.0086312,             0.61789,             0.54012,             0.55654,             0.23878,            0.034584,           0.0097671,           0.0039393,             0.00568,             0.00568,             0.00568
                  26,            0.039221,            0.028314,           0.0081605,             0.61955,             0.52132,             0.53119,             0.24306,            0.032824,            0.010021,           0.0041891,              0.0055,              0.0055,              0.0055
                  27,            0.039244,            0.028037,           0.0082807,             0.65378,             0.53554,             0.56201,             0.25571,            0.033025,           0.0097159,           0.0043426,             0.00532,             0.00532,             0.00532
                  28,            0.039496,            0.027802,           0.0079394,               0.582,             0.57091,             0.54898,             0.24585,            0.033031,           0.0098193,            0.003844,             0.00514,             0.00514,             0.00514
                  29,             0.03882,            0.027797,           0.0082695,             0.62545,             0.55709,             0.56158,             0.25794,               0.032,           0.0098063,           0.0035689,             0.00496,             0.00496,             0.00496
                  30,            0.038561,             0.02729,           0.0078476,             0.64162,             0.59812,             0.59584,             0.27842,             0.03175,           0.0095322,           0.0040258,             0.00478,             0.00478,             0.00478
                  31,            0.038403,            0.027397,            0.007859,              0.6469,             0.55226,             0.58661,             0.27203,            0.032736,           0.0094717,            0.003423,              0.0046,              0.0046,              0.0046
                  32,            0.038128,            0.027551,           0.0078085,             0.63297,             0.58104,             0.60259,             0.29381,             0.03142,           0.0095127,           0.0032275,             0.00442,             0.00442,             0.00442
                  33,            0.037964,            0.027599,           0.0075861,             0.66357,             0.59626,             0.62005,             0.29375,            0.031042,           0.0094492,           0.0034265,             0.00424,             0.00424,             0.00424
                  34,             0.03759,            0.027165,            0.007119,             0.64256,             0.58913,             0.61605,             0.29578,            0.031259,           0.0093638,           0.0034397,             0.00406,             0.00406,             0.00406
                  35,             0.03726,            0.027093,           0.0078574,             0.59143,             0.58917,             0.53446,             0.26051,            0.030906,           0.0093528,           0.0034215,             0.00388,             0.00388,             0.00388
                  36,            0.037463,            0.026957,           0.0072261,             0.66484,             0.54628,             0.60469,             0.29876,            0.030868,           0.0094287,           0.0032702,              0.0037,              0.0037,              0.0037
                  37,              0.0375,             0.02678,            0.007322,             0.64871,             0.60216,             0.62136,             0.29644,            0.031265,           0.0092736,           0.0035717,             0.00352,             0.00352,             0.00352
                  38,            0.037028,            0.026938,           0.0073609,             0.67792,             0.58454,             0.63611,             0.31531,            0.030352,           0.0091131,           0.0033467,             0.00334,             0.00334,             0.00334
                  39,            0.036578,            0.026646,           0.0069398,             0.65585,              0.5905,             0.62305,             0.31375,            0.030377,           0.0092672,           0.0033169,             0.00316,             0.00316,             0.00316
                  40,            0.036697,            0.026489,           0.0069803,             0.68173,             0.63457,             0.66107,             0.32109,            0.030387,           0.0092014,           0.0031064,             0.00298,             0.00298,             0.00298
                  41,            0.036607,            0.026306,           0.0066939,             0.66046,             0.61134,             0.64214,             0.33097,            0.029433,           0.0091846,           0.0033107,              0.0028,              0.0028,              0.0028
                  42,            0.037118,            0.026387,           0.0069262,             0.64478,             0.60154,             0.63498,             0.32593,            0.029593,           0.0091657,           0.0031365,             0.00262,             0.00262,             0.00262
                  43,            0.036254,            0.026278,           0.0071624,             0.67075,             0.58949,              0.6403,             0.32161,             0.03067,            0.009148,           0.0028097,             0.00244,             0.00244,             0.00244
                  44,            0.035996,            0.025774,           0.0062796,             0.67987,             0.61855,              0.6529,             0.33005,            0.029591,           0.0091497,           0.0027641,             0.00226,             0.00226,             0.00226
                  45,            0.035819,            0.026011,           0.0068216,             0.69489,             0.60309,             0.65376,             0.34178,            0.028777,           0.0090987,            0.003121,             0.00208,             0.00208,             0.00208
                  46,            0.035488,            0.026118,           0.0063073,             0.67917,             0.61678,             0.66409,             0.34344,            0.028878,           0.0090306,            0.002843,              0.0019,              0.0019,              0.0019
                  47,             0.03575,            0.026096,           0.0060272,             0.66055,              0.6457,             0.66537,             0.33562,            0.029266,            0.009076,           0.0028546,             0.00172,             0.00172,             0.00172
                  48,            0.035146,            0.026071,           0.0060733,             0.66189,             0.62412,              0.6635,             0.34339,            0.029193,            0.009029,           0.0027159,             0.00154,             0.00154,             0.00154
                  49,            0.035326,            0.025718,           0.0059858,             0.64612,             0.64473,             0.66533,             0.34782,            0.028977,           0.0089514,           0.0027978,             0.00136,             0.00136,             0.00136
